Date,Team,Acquired,Relinquished,Notes,TEAM_ABBREVIATION,player_name_clean,matched_name,PLAYER_ID,match_score
2021-02-10,Timberwolves,,D'Angelo Russell,placed on IL with sore left leg,MIN,D'Angelo Russell,D'Angelo Russell,1626156,100.0
2021-02-11,76ers,,Shake Milton,placed on IL with sprained left ankle,PHI,Shake Milton,Shake Milton,1629003,100.0
2021-02-11,Celtics,,Robert Williams III,placed on IL with left hip injury,BOS,Robert Williams III,Robert Williams III,1629057,100.0
2021-02-11,Pistons,,Mason Plumlee,placed on IL with right elbow injury,DET,Mason Plumlee,Mason Plumlee,203486,100.0
2021-02-12,Celtics,,Kemba Walker,placed on IL with left knee injury,BOS,Kemba Walker,Kemba Walker,202689,100.0
2021-02-12,Magic,,Frank Mason,placed on IL with right groin injury,ORL,Frank Mason III,Frank Mason III,1628412,100.0
2021-02-12,Rockets,,Victor Oladipo,placed on IL with right ankle/foot injury,HOU,Victor Oladipo,Victor Oladipo,203506,100.0
2021-02-13,Hawks,,Tony Snell,placed on IL with right Achilles injury,ATL,Tony Snell,Tony Snell,203503,100.0
2021-02-13,Wizards,,Ishmael Smith / Ish Smith,placed on IL with strained right quadriceps,WAS,Ish Smith,Ish Smith,202397,100.0
2021-02-14,Blazers,,Rodney Hood,placed on IL with sprained left foot,POR,Rodney Hood,Rodney Hood,203918,100.0
2021-02-14,Nets,,Kevin Durant,placed on IL with strained left hamstring,BKN,Kevin Durant,Kevin Durant,201142,100.0
2021-02-14,Pistons,,Blake Griffin,placed on IL with left knee injury,DET,Blake Griffin,Blake Griffin,201933,100.0
2021-02-15,Blazers,,Harry Giles III,placed on IL with strained left calf,POR,Harry Giles III,Harry Giles III,1628385,100.0
2021-02-15,Lakers,,Anthony Davis,placed on IL with strained right calf / Achilles,LAL,Anthony Davis,Anthony Davis,203076,100.0
2021-02-15,Nuggets,,Paul Millsap,placed on IL with sprained left knee,DEN,Paul Millsap,Paul Millsap,200794,100.0
2021-02-16,Celtics,,Daniel Theis,placed on IL with right index finger injury,BOS,Daniel Theis,Daniel Theis,1628464,100.0
2021-02-16,Magic,,Cole Anthony,placed on IL with rib injury,ORL,Cole Anthony,Cole Anthony,1630175,100.0
2021-02-16,Nets,,Kyrie Irving,placed on IL with tightness in lower back,BKN,Kyrie Irving,Kyrie Irving,202681,100.0
2021-02-17,Celtics,,Kemba Walker,placed on IL with left knee injury,BOS,Kemba Walker,Kemba Walker,202689,100.0
2021-02-17,Kings,,Harrison Barnes,placed on IL with left foot injury,SAC,Harrison Barnes,Harrison Barnes,203084,100.0
2021-02-18,Nuggets,,Gary Harris,placed on IL with strained left adductor,DEN,Gary Harris,Gary Harris,203914,100.0
2021-02-18,Raptors,,Kyle Lowry,placed on IL with sprained left thumb / sore left ankle,TOR,Kyle Lowry,Kyle Lowry,200768,100.0
2021-02-19,Grizzlies,,Dillon Brooks,placed on IL with sore right thigh,MEM,Dillon Brooks,Dillon Brooks,1628415,100.0
2021-02-20,Grizzlies,,Brandon Clarke,placed on IL with right calf injury,MEM,Brandon Clarke,Brandon Clarke,1629634,100.0
2021-02-20,Kings,,Glenn Robinson III,placed on IL with right knee injury,SAC,Glenn Robinson III,Glenn Robinson III,203922,100.0
2021-02-21,Nets,,Tyler Johnson,placed on IL with strained left adductor,BKN,Tyler Johnson,Tyler Johnson,204020,100.0
2021-02-21,Nuggets,,JaMychal Green,placed on IL with sprained left shoulder,DEN,JaMychal Green,JaMychal Green,203210,100.0
2021-02-21,Pistons,,Delon Wright,placed on IL with strained right groin,DET,Delon Wright,Delon Wright,1626153,100.0
2021-02-22,Grizzlies,,Sean McDermott,placed on IL,MEM,Sean McDermott,Sean McDermott,1630253,100.0
